dataset,model,number_of_debate_cases,total_cases,average_overall_latency,average_debate_latency,average_tree_latency,average_f1,average_bert_score,average_rogue_score,average_bleurt_score,average_llm_critic_score
hotpotqa,qwen2.5:3b,10,300,5.6659194794545575,32.30062638903755,4.476931662426602,0.9402939531578018,0.9874448543787002,0.9395524421112657,0.8267634920279185,0
science_qa,qwen2.5:3b,93,300,64.30791264222003,235.06988663643733,4.010649292730765,0.7936064973194886,0.960450137257576,0.7534770385707514,0.5335133292494962,0
finqa,qwen2.5:3b,133,300,18.126434034992318,36.90730543837873,4.1088354494667145,0.6710224686928192,0.9377326240142186,0.6557517015318883,0.3790990273033579,0
squad,qwen2.5:3b,25,300,12.362485580972862,100.26573315633732,3.2297248827382767,0.9169534706827723,0.9837829911708832,0.9164339527751683,0.8383119517037024,0
hotpotqa,gemma:2b,10,300,5.04518060595418,35.20102922825996,4.168825192763858,0.9381648841354724,0.9870285662015279,0.9391021251318958,0.8220182096461455,0
science_qa,gemma:2b,94,300,38.82865713044225,100.35786274477063,3.9433619772573003,0.7972960582336444,0.9634741854667663,0.772224437010255,0.489883467744415,0
finqa,gemma:2b,136,300,14.592941119566676,23.485496000180138,4.2938409400958335,0.686244336094305,0.9396256109078726,0.6704095161118969,0.37224984769709407,0
squad,gemma:2b,25,300,8.915311095033928,75.52040516815342,3.2625880163919647,0.9292680642744582,0.9863043367862702,0.9282167055057725,0.8388280055423578,0
hotpotqa,phi3:3.8b,10,300,5.65916320286924,33.43795103355437,4.144638357316435,0.9381623381267467,0.9868419180313747,0.9374918547217063,0.8254757814606031,0
science_qa,phi3:3.8b,85,300,72.31039995644629,221.42225057361327,3.6176698065332524,0.7730163709797437,0.9568904666105906,0.738279281886384,0.5104098136009028,0
finqa,phi3:3.8b,108,300,23.209704394505824,36.23814467994186,4.01750965902737,0.6262852372637197,0.9267066373427709,0.6110092075196639,0.21222051565845806,0
squad,phi3:3.8b,25,300,15.354995903060772,114.74367427535589,3.2334070958189356,0.9142493365939371,0.9832426462570826,0.9129184785049724,0.8362999566830694,0
